"";"ano";"uf";"horasanuais";"massa de rendimentos";"tempo médio";"vinculos"
"156";1999;"RO";1976,96770316009;NA;NA;189678
"157";1999;"RR";1905,13227177568;NA;NA;31526
"158";1999;"RS";1975,58732816585;NA;NA;2571593
"159";1999;"SC";1999,76378033039;NA;NA;1471173
"160";1999;"SE";1878,65756614669;NA;NA;255077
"161";1999;"SP";2012,66561810633;NA;NA;11002387
"162";1999;"TO";1949,90017233276;NA;NA;127660
"163";2000;"AC";1972,14158861452;NA;NA;73989
"164";2000;"AL";1895,6431103851;NA;NA;355673
"165";2000;"AM";1906,32066383709;NA;NA;335504
"166";2000;"AP";1959,58730843946;NA;NA;60229
"167";2000;"BA";1932,72532938945;NA;NA;1584902
"168";2000;"CE";1920,98017281685;NA;NA;923984
"169";2000;"DF";1853,21351443817;NA;NA;999642
"170";2000;"ES";1988,63027075011;NA;NA;702936
"171";2000;"GO";1981,66833878469;NA;NA;962452
"172";2000;"MA";1821,6814033988;NA;NA;357361
"173";2000;"MG";1967,03016870795;NA;NA;4295411
"174";2000;"MS";1975,20187044817;NA;NA;446524
"175";2000;"MT";1984,61567408077;NA;NA;491091
"176";2000;"PA";1885,7594003485;NA;NA;608887
"177";2000;"PB";1832,82097028029;NA;NA;417467
"178";2000;"PE";1954,096565509;NA;NA;1152689
"179";2000;"PI";1921,15355590729;NA;NA;258401
"180";2000;"PR";1978,61535160311;NA;NA;2404700
"181";2000;"RN";1942,93952199852;NA;NA;411505
"182";2000;"RJ";1964,50235152672;NA;NA;3760323
"183";2000;"RO";1992,22711508689;NA;NA;212509
"184";2000;"RR";1980,72387561724;NA;NA;29972
"185";2000;"RS";1976,05289700576;NA;NA;2722725
"186";2000;"SC";2003,24403144893;NA;NA;1627782
"187";2000;"SE";1883,69678126873;NA;NA;265353
"188";2000;"SP";2015,53739029909;NA;NA;11653504
"189";2000;"TO";1960,23383785771;NA;NA;146871
"190";2001;"AC";1977,01202539524;NA;NA;80330
"191";2001;"AL";1903,95752369608;NA;NA;396268
"192";2001;"AM";1918,27806443528;NA;NA;367066
"193";2001;"AP";1965,21197081741;NA;NA;60447
"194";2001;"BA";1945,91197403851;NA;NA;1665236
"195";2001;"CE";1926,07524596794;NA;NA;971773
"196";2001;"DF";1905,72833738439;NA;NA;982049
"197";2001;"ES";1954,31834929423;NA;NA;775959
"198";2001;"GO";1980,01579691611;NA;NA;1065018
"199";2001;"MA";1877,13005148119;NA;NA;394513
"200";2001;"MG";1968,09051887294;NA;NA;4414549
"201";2001;"MS";1975,75591371376;NA;NA;475209
"202";2001;"MT";2002,44097574659;NA;NA;541862
"203";2001;"PA";1896,874766016;NA;NA;661370
"204";2001;"PB";1842,96428429787;NA;NA;453862
"205";2001;"PE";1940,89280586779;NA;NA;1216130
"206";2001;"PI";1917,85270894228;NA;NA;272671
"207";2001;"PR";1980,32832882415;NA;NA;2551832
"208";2001;"RN";1913,35516206589;NA;NA;506183
"209";2001;"RJ";1966,20409452799;NA;NA;3924848
"210";2001;"RO";2006,28719865446;NA;NA;214040
"211";2001;"RR";1962,16210722453;NA;NA;35421
"212";2001;"RS";1979,53214001166;NA;NA;2865447
"213";2001;"SC";2005,07969025447;NA;NA;1759638
"214";2001;"SE";1902,85705957268;NA;NA;288169
"215";2001;"SP";2014,35774879704;NA;NA;12141704
"216";2001;"TO";1953,75557909211;NA;NA;161451
"217";2002;"AC";1973,45796220615;NA;NA;85887
"218";2002;"AL";1898,48744722099;NA;NA;411622
"219";2002;"AM";1923,00484065555;NA;NA;402838
"220";2002;"AP";1977,09795663919;NA;NA;72185
"221";2002;"BA";1946,97926798055;NA;NA;1785499
"222";2002;"CE";1920,95879385418;NA;NA;1042660
"223";2002;"DF";1908,77993488198;NA;NA;1012623
"224";2002;"ES";1955,61417158075;NA;NA;841120
"225";2002;"GO";1979,19333293375;NA;NA;1151211
"226";2002;"MA";1948,78344556516;NA;NA;415212
"227";2002;"MG";1970,18549512311;NA;NA;4586223
"228";2002;"MS";1963,83537790946;NA;NA;526515
"229";2002;"MT";1995,26883026841;NA;NA;605780
"230";2002;"PA";1892,31652058466;NA;NA;732123
"231";2002;"PB";1856,39919897462;NA;NA;468899
"232";2002;"PE";1938,61814266146;NA;NA;1262990
"233";2002;"PI";1920,10179479947;NA;NA;294239
"234";2002;"PR";1982,6088266993;NA;NA;2627664
"235";2002;"RN";1967,5369016502;NA;NA;433463
"236";2002;"RJ";1965,12332351397;NA;NA;4045068
"237";2002;"RO";2009,26511752494;NA;NA;238928
"238";2002;"RR";1952,38072805139;NA;NA;37360
"239";2002;"RS";1980,82537156062;NA;NA;2920183
"240";2002;"SC";2004,92393690844;NA;NA;1871946
"241";2002;"SE";1902,80434599293;NA;NA;308330
"242";2002;"SP";2011,29864480642;NA;NA;12566249
"243";2002;"TO";1945,99690689762;NA;NA;181048
